
Epoch 1/10, Train Loss: 0.1769, Test Loss: 0.0707, Test Accuracy: 0.9789, Epoch Time: 34.03 seconds
Epoch 2/10, Train Loss: 0.0683, Test Loss: 0.0813, Test Accuracy: 0.9759, Epoch Time: 34.23 seconds
Epoch 3/10, Train Loss: 0.0566, Test Loss: 0.0586, Test Accuracy: 0.9817, Epoch Time: 34.53 seconds
Epoch 4/10, Train Loss: 0.0508, Test Loss: 0.0514, Test Accuracy: 0.9859, Epoch Time: 36.13 seconds
Epoch 5/10, Train Loss: 0.0442, Test Loss: 0.0480, Test Accuracy: 0.9856, Epoch Time: 35.22 seconds
Epoch 6/10, Train Loss: 0.0427, Test Loss: 0.0536, Test Accuracy: 0.9852, Epoch Time: 34.95 seconds
Epoch 7/10, Train Loss: 0.0362, Test Loss: 0.0709, Test Accuracy: 0.9811, Epoch Time: 34.63 seconds
Epoch 8/10, Train Loss: 0.0380, Test Loss: 0.0710, Test Accuracy: 0.9822, Epoch Time: 1439.73 seconds
[34m[1mwandb[39m[22m: Network error resolved after 0:00:18.248609, resuming normal operation.
Epoch 9/10, Train Loss: 0.0367, Test Loss: 0.0802, Test Accuracy: 0.9828, Epoch Time: 39.11 seconds
Epoch 10/10, Train Loss: 0.0371, Test Loss: 0.0668, Test Accuracy: 0.9851, Epoch Time: 36.62 seconds
