
Epoch 1/15, Train Loss: 0.2523, Test Loss: 0.0675, Test Accuracy: 0.9780, Epoch Time: 9.57 seconds
Epoch 2/15, Train Loss: 0.0676, Test Loss: 0.0476, Test Accuracy: 0.9848, Epoch Time: 9.35 seconds
Epoch 3/15, Train Loss: 0.0474, Test Loss: 0.0422, Test Accuracy: 0.9867, Epoch Time: 10.07 seconds
Epoch 4/15, Train Loss: 0.0379, Test Loss: 0.0381, Test Accuracy: 0.9862, Epoch Time: 10.29 seconds
Epoch 5/15, Train Loss: 0.0310, Test Loss: 0.0352, Test Accuracy: 0.9880, Epoch Time: 9.50 seconds
Epoch 6/15, Train Loss: 0.0259, Test Loss: 0.0375, Test Accuracy: 0.9877, Epoch Time: 9.43 seconds
Epoch 7/15, Train Loss: 0.0219, Test Loss: 0.0501, Test Accuracy: 0.9852, Epoch Time: 9.01 seconds
Epoch 8/15, Train Loss: 0.0198, Test Loss: 0.0426, Test Accuracy: 0.9864, Epoch Time: 9.27 seconds
Epoch 9/15, Train Loss: 0.0162, Test Loss: 0.0319, Test Accuracy: 0.9892, Epoch Time: 9.62 seconds
Epoch 10/15, Train Loss: 0.0143, Test Loss: 0.0368, Test Accuracy: 0.9901, Epoch Time: 9.76 seconds
Epoch 11/15, Train Loss: 0.0140, Test Loss: 0.0349, Test Accuracy: 0.9901, Epoch Time: 9.04 seconds
Epoch 12/15, Train Loss: 0.0117, Test Loss: 0.0348, Test Accuracy: 0.9903, Epoch Time: 8.83 seconds
Epoch 13/15, Train Loss: 0.0103, Test Loss: 0.0370, Test Accuracy: 0.9902, Epoch Time: 9.79 seconds
Epoch 14/15, Train Loss: 0.0130, Test Loss: 0.0383, Test Accuracy: 0.9898, Epoch Time: 9.40 seconds
Epoch 15/15, Train Loss: 0.0085, Test Loss: 0.0406, Test Accuracy: 0.9906, Epoch Time: 9.63 seconds
